Hit,Z-score,rmsd,lali,nres,%id,Description
1lu4-A,27.3,0.6,133,134,100,SOLUBLE SECRETED ANTIGEN MPT53               
3ios-A,25,0.9,132,134,55,DISULFIDE BOND FORMING PROTEIN (DSBF)        
1zzo-A,25,0.9,132,134,55,RV1677                                       
2f9s-B,21.6,1.7,132,136,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1a-A,21.5,1.7,132,136,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
1st9-A,21.5,1.5,131,137,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2f9s-A,21.5,1.4,131,138,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1d-A,21.3,1.7,132,136,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h19-B,21.3,1.7,132,136,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
3c73-A,21.2,1.5,131,136,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
1su9-B,21.2,1.7,132,136,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1b-D,21.2,1.5,131,137,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1g-B,21.2,1.5,131,137,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1g-A,21.2,1.7,132,136,20,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h19-A,21.1,1.5,131,138,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1a-B,21.1,1.4,130,139,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
4nmu-B,21.1,1.6,132,140,24,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1d-B,21.1,1.5,131,137,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1b-A,21.1,1.7,132,138,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
1su9-A,21.1,1.6,131,137,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
3c73-B,21,1.5,131,138,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1b-B,21,1.7,132,138,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
4nmu-D,20.9,1.6,132,139,24,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
3c71-A,20.9,1.5,131,140,23,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
2h1b-C,20.8,1.8,132,137,21,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
1st9-B,20.8,1.8,132,135,22,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
4nmu-A,20.3,1.6,131,147,24,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
4nmu-C,20.2,1.7,132,147,24,THIOL-DISULFIDE OXIDOREDUCTASE RESA          
3or5-A,19.5,1.8,131,145,24,"THIOL:DISULFIDE INTERCHANGE PROTEIN, THIOREDOXIN "
3gl3-B,18.8,1.9,131,141,19,PUTATIVE THIOL:DISULFIDE INTERCHANGE PROTEIN  
3gl3-C,18.6,1.8,129,138,19,PUTATIVE THIOL:DISULFIDE INTERCHANGE PROTEIN  
3gl3-A,18.6,1.9,131,141,19,PUTATIVE THIOL:DISULFIDE INTERCHANGE PROTEIN  
3gl3-D,18.6,1.8,129,137,19,PUTATIVE THIOL:DISULFIDE INTERCHANGE PROTEIN  
1kng-A,18.3,1.9,131,144,23,THIOL:DISULFIDE INTERCHANGE PROTEIN CYCY     
5um7-B,17.9,1.9,128,142,14,THIOREDOXIN SIGNATURE PROTEIN                
5um7-A,17.6,1.9,129,140,15,THIOREDOXIN SIGNATURE PROTEIN                
2g0f-A,17.2,2.1,130,149,21,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBE     
2b1k-A,17.2,2.1,130,149,22,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBE     
2l5o-A,17.1,2.1,132,150,23,PUTATIVE THIOREDOXIN                         
4pq1-B,17.1,2,131,158,21,PUTATIVE ELECTRON TRANSPORT RELATED PROTEIN  
3drn-A,17.1,2.2,134,152,18,"PEROXIREDOXIN, BACTERIOFERRITIN COMIGRATORY P "
3drn-B,17.1,2.2,134,150,18,"PEROXIREDOXIN, BACTERIOFERRITIN COMIGRATORY P "
3lwa-A,17,2,132,167,15,SECRETED THIOL-DISULFIDE ISOMERASE           
2ls5-A,17,1.9,131,159,19,UNCHARACTERIZED PROTEIN                      
5enu-A,16.9,2.2,130,157,22,ALKYL HYDROPEROXIDE REDUCTASE/ THIOL SPECIFIC 
5io0-A,16.9,2.2,133,157,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5enu-B,16.9,2.2,130,153,22,ALKYL HYDROPEROXIDE REDUCTASE/ THIOL SPECIFIC 
5iiz-A,16.9,2.2,133,157,14,BACTERIOFERRITIN COMIGRATORY PROTEIN         
4pq1-A,16.9,2,130,157,20,PUTATIVE ELECTRON TRANSPORT RELATED PROTEIN  
3hjp-D,16.9,2.2,134,158,16,"PEROXIREDOXIN, BACTERIOFERRITIN COMIGRATORY P "
5io2-A,16.8,2.2,133,158,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5iow-A,16.8,2.2,132,156,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
3gkm-A,16.8,2.2,133,157,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5im9-A,16.8,2.2,133,157,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5iph-A,16.8,2.2,132,157,14,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5ipg-A,16.8,2.2,132,156,13,BACTERIOFERRITIN COMIGRATORY PROTEIN         
