No,Hit,Z-score,rmsd,lali,nres,%id,Description,,,,,,
2,1lu4-A,11.9,2.1,98,134,90,SOLUBLE,SECRETED,ANTIGEN,MPT53,,,
3,3hyp-B,11.2,2.3,90,119,20,THIOREDOXIN,,,,,,
4,3hxs-B,11.1,2.7,91,119,20,THIOREDOXIN,,,,,,
5,2ynx-A,11.1,2.4,95,105,22,LACA,THIOREDOXIN,,,,,
6,3ios-A,11,2.1,95,134,53,DISULFIDE,BOND,FORMING,PROTEIN,(DSBF),,
7,1zzo-A,11,2.1,95,134,53,RV1677,,,,,,
8,2o89-A,11,2.5,96,103,13,THIOREDOXIN,,,,,,
9,2o85-A,11,2.5,96,103,14,THIOREDOXIN,,,,,,
10,2o7k-A,11,2.5,96,103,14,THIOREDOXIN,,,,,,
11,4ba7-A,10.9,2.5,96,105,19,LBCA,THIOREDOXIN,,,,,
12,3hyp-A,10.9,2.4,89,117,20,THIOREDOXIN,,,,,,
13,1fb6-A,10.9,2.5,96,104,19,THIOREDOXIN,M,,,,,
14,2e0q-A,10.9,2.5,97,104,21,THIOREDOXIN,,,,,,
15,2o87-A,10.9,2.5,94,102,14,THIOREDOXIN,,,,,,
16,3hxs-A,10.9,2.7,90,117,20,THIOREDOXIN,,,,,,
17,3tco-B,10.9,2.5,97,106,14,THIOREDOXIN,(TRXA-1),,,,,
18,2ynx-B,10.8,2.5,97,105,19,LACA,THIOREDOXIN,,,,,
19,4ba7-B,10.8,2.5,96,105,19,LBCA,THIOREDOXIN,,,,,
20,2o8v-B,10.8,2.6,97,108,16,PHOSPHOADENOSINE,PHOSPHOSULFATE,REDUCTASE,,,,
21,2cvk-A,10.8,2.5,97,105,15,THIOREDOXIN,,,,,,
22,2fch-D,10.8,2.6,97,107,19,THIOREDOXIN,1,,,,,
23,3ziv-C,10.7,2.4,96,105,19,AECA,THIOREDOXIN,,,,,
24,3tco-A,10.7,2.6,97,106,14,THIOREDOXIN,(TRXA-1),,,,,
25,2vm1-B,10.7,2.5,97,110,23,THIOREDOXIN,H,ISOFORM,1,,,
26,2yzu-A,10.7,2.5,96,104,13,THIOREDOXIN,,,,,,
27,1xw9-B,10.7,2.4,95,106,22,THIOREDOXIN,,,,,,
28,1xwb-C,10.7,2.5,96,106,22,THIOREDOXIN,,,,,,
29,1xwa-B,10.7,2.5,96,106,22,THIOREDOXIN,,,,,,
30,1xw9-A,10.7,2.5,96,106,22,THIOREDOXIN,,,,,,
31,1m7t-A,10.7,2.5,97,107,18,CHIMERA,OF,HUMAN,AND,E.,COLI,THIOREDOXIN
32,1xw9-C,10.7,2.5,96,106,22,THIOREDOXIN,,,,,,
33,1xwa-D,10.7,2.6,96,106,22,THIOREDOXIN,,,,,,
34,1fb0-A,10.7,2.4,95,105,19,THIOREDOXIN,M,,,,,
35,2fch-E,10.7,2.7,98,107,17,THIOREDOXIN,1,,,,,
36,2h1b-D,10.6,2.5,97,137,18,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
