pdb	RMSD_orig	RMSD_alt	pLDDT
3U5RE_089_1.pdb	1.353	5.824	75.425
3EMX_013_1.pdb	2.511	4.581	73.148
3GL5_143_1.pdb	10.412	11.526	84.422
3GL5_106_1.pdb	10.586	11.522	77.263
1KNGA_181_1.pdb	6.955	5.146	54.165
4NMUD_067_1.pdb	4.739	4.294	61.860
3KCMA_006_1.pdb	4.439	5.971	68.637
3KCMA_043_1.pdb	3.179	4.522	92.339
4NMUD_022_1.pdb	1.417	3.276	87.664
3GL3D_149_1.pdb	1.537	8.787	82.800
3PH9_007_1.pdb	9.715	10.543	77.766
3PH9_042_1.pdb	8.274	8.828	71.277
3OR5A_192_1.pdb	1.103	2.790	82.693
4EUY_142_1.pdb	5.235	5.295	45.633
4EUY_107_1.pdb	5.101	5.038	83.990
1KNGA_139_1.pdb	11.513	13.046	39.791
2LS5A_062_1.pdb	1.444	5.346	84.978
5UM7B_082_1.pdb	1.661	7.152	78.296
3U5RE_074_1.pdb	9.964	8.946	55.519
2LS5A_027_1.pdb	1.257	5.967	87.675
3U5RE_031_1.pdb	3.676	8.550	45.091
1LU4_183_1.pdb	0.370	1.751	91.893
3IOSA_017_1.pdb	0.797	1.800	90.531
3IOSA_052_1.pdb	0.922	1.762	82.806
6MZA_003_1.pdb	0.764	0.455	83.325
6MZA_046_1.pdb	0.741	0.417	82.233
3U5RE_169_1.pdb	1.956	6.361	62.788
3W8J_052_1.pdb	9.712	11.206	39.213
3W8J_017_1.pdb	3.642	3.878	90.274
1KNGA_061_1.pdb	5.012	6.545	58.861
1KNGA_024_1.pdb	1.758	7.450	91.069
2OKA_026_1.pdb	7.073	6.160	65.713
2OKA_063_1.pdb	6.287	5.998	75.998
3C71A_117_1.pdb	1.902	12.960	79.123
5UM7B_127_1.pdb	2.584	3.155	50.181
1LU4_063_1.pdb	0.294	1.805	92.454
1LU4_026_1.pdb	2.504	0.567	70.958
3U5RE_194_1.pdb	1.925	7.121	65.010
3GL3D_054_1.pdb	7.634	7.684	50.357
3OR5A_072_1.pdb	1.039	2.711	79.585
3GL3D_011_1.pdb	1.544	8.545	79.993
3OR5A_037_1.pdb	1.006	2.703	76.525
3GL5_026_1.pdb	10.297	11.731	81.282
3GL5_063_1.pdb	10.522	11.698	77.914
3W8J_092_1.pdb	3.813	4.305	74.854
3GL3D_069_1.pdb	1.387	8.417	75.761
6MZA_086_1.pdb	0.826	0.487	80.875
3KCMA_163_1.pdb	3.686	4.889	67.089
4NMUD_102_1.pdb	1.432	3.847	83.491
4NMUD_147_1.pdb	1.496	4.001	79.684
3IOSA_092_1.pdb	0.822	1.811	90.902
3KCMA_126_1.pdb	3.099	4.122	79.782
4EUY_027_1.pdb	5.569	5.499	89.938
2EC4_033_1.pdb	3.610	4.423	46.325
2EC4_076_1.pdb	3.681	4.485	36.118
4EUY_062_1.pdb	4.807	4.641	83.713
3GL3D_094_1.pdb	3.990	7.297	50.596
3U5RE_111_1.pdb	3.338	9.846	54.746
3U5RE_154_1.pdb	3.356	8.409	54.285
1KNGA_019_1.pdb	9.394	5.733	54.525
6MZA_166_1.pdb	0.745	0.520	78.650
6MZA_123_1.pdb	0.690	0.604	73.506
3IOSA_137_1.pdb	1.009	1.353	77.676
3KCMA_083_1.pdb	3.098	4.838	75.803
1KNGA_104_1.pdb	1.891	7.278	83.723
3GL5_183_1.pdb	10.098	11.251	82.128
1KNGA_141_1.pdb	6.501	4.397	49.220
3W8J_137_1.pdb	4.355	4.197	70.261
3U5RE_049_1.pdb	1.319	6.070	73.408
3W8J_172_1.pdb	8.767	9.029	40.394
3C71A_072_1.pdb	7.420	8.534	54.765
2L57_002_1.pdb	2.108	2.743	80.378
1LU4_106_1.pdb	1.041	1.681	82.852
5UM7B_042_1.pdb	2.870	5.973	57.573
3C71A_037_1.pdb	1.389	12.459	83.424
2L57_047_1.pdb	3.305	2.923	50.241
1LU4_143_1.pdb	3.559	10.492	58.776
5UM7B_007_1.pdb	1.681	6.988	76.077
2OKA_143_1.pdb	6.276	5.970	78.791
2OKA_106_1.pdb	6.310	5.922	71.804
3GL3D_131_1.pdb	7.843	5.568	43.334
3OR5A_117_1.pdb	1.825	3.499	73.816
3GL3D_174_1.pdb	3.817	4.502	53.400
3OR5A_152_1.pdb	3.735	2.459	46.184
1LU4_087_1.pdb	0.664	2.090	78.939
3U5RE_135_1.pdb	1.401	6.295	79.067
3U5RE_170_1.pdb	1.636	6.290	74.092
