Name,class,tag
6MZAA,joint_a,alt
3GL5A,joint_a,alt
3PH9B,joint_a,alt
3EMXA,joint_a,alt
2OKAA,joint_a,alt
2EC4A,joint_a,alt
2L57A,joint_a,alt
4EUYA,joint_a,alt
3W8JB,a,alt
3IOSA,joint_o,2sw_orig
3C71A,joint_o,2sw_orig
4NMUD,joint_o,sw_orig
2LS5A,joint_o,sw_orig
3KCMA,joint_o,2sw_orig
3U5RE,joint_o,orig
5UM7B,joint_o,orig
3GL3D,joint_o,orig
3OR5A,joint_o,sw_orig
1KNGA,joint_o,orig
1LU4A,joint_o,WT
